the_geom,ATS_Code,Loc_Code,Loc_Name,Managed_by,LCC,PrimaryBui,BIN,BBL,Address,City,BoroNum,State,Zip,GeoDistric,AdiminDist,XCoordinat,YCoordinat
POINT (-73.83102571690236 40.679083362762),27Q108,Q108,P.S. 108 Captain Vincent G. Fowler,1,2,Q108,4247572,4114750011.0,108-10 109 AVENUE,QUEENS,4,NY,11420,27,27,1031118,186730
POINT (-73.83829904482552 40.82571564962427),84X619,X619,Bronx Arts and Science Charter School,2,2,XAGG,2097748,2055420001.0,925 HUTCHINSON RIVER PARKWAY,BRONX,2,NY,10465,8,84,1029002,240149
POINT (-73.93225424962799 40.69146760469697),16K688,K688,The Brooklyn Academy of Global Finance,1,5,K057,3043822,3016160001.0,125 STUYVESANT AVENUE,BROOKLYN,3,NY,11221,16,16,1003037,191204
POINT (-73.99356543837214 40.594648615601095),21K281,K281,I.S. 281 Joseph B Cavallaro,1,3,K281,3186626,3068910001.0,8787 24 AVENUE,BROOKLYN,3,NY,11214,21,21,986037,155923
POINT (-73.80300189161902 40.70946188404463),28Q086,Q086,P.S. Q086,1,2,Q086,4438678,4097740001.0,87-41 PARSONS BOULEVARD,QUEENS,4,NY,11432,28,28,1038866,197814
POINT (-74.01142010329713 40.648959412468294),15K001,K001,P.S. 001 The Bergen,1,2,K001,3011821,3007550022.0,309 47 STREET,BROOKLYN,3,NY,11220,15,15,981081,175710
POINT (-73.77067414326163 40.7551380212238),26Q376,Q376,P.S. 376,1,2,Q332,4157240,4073270028.0,210-21 48 AVENUE,QUEENS,4,NY,11364,26,26,1047785,214477
POINT (-74.01232856732594 40.70927022459325),02M489,M489,High School of Economics and Finance,1,5,M833,1001037,1000520001.0,100 TRINITY PLACE,MANHATTAN,1,NY,10006,2,2,980832,197683
POINT (-73.99548415838963 40.76156383495302),02M051,M051,P.S. 051 Elias Howe,1,2,M338,1088462,1010730014.0,525 WEST 44TH STREET,MANHATTAN,1,NY,10036,2,2,985501,216735
POINT (-74.00164842829557 40.71131297639896),02M280,M280,Manhattan Early College School for Advertising,1,5,M520,1001388,1.0011301E+9,411 PEARL STREET,MANHATTAN,1,NY,10038,2,2,983793,198427
POINT (-73.9227318719479 40.64388910832883),84K927,K927,Ivy Hill Preparatory Charter School,2,2,KBXX,3221961,0.0,475 EAST   57 STREET,BROOKLYN,3,NY,11203,18,84,1005693,173872
POINT (-74.14552200446867 40.623077858223745),31R051,R051,I.S. 051 Edwin Markham,1,3,R051,5107210,5.0147805E+9,80 WILLOWBROOK ROAD,STATEN ISLAND,5,NY,10302,31,31,943853,166314
POINT (-73.9087725578193 40.814951294032355),84X497,X497,Storefront Academy Charter School,2,2,XBBX,2004435,2026230211.0,609 JACKSON AVENUE,BRONX,2,NY,10455,7,84,1009502,236199
POINT (-73.82381665776637 40.86407374119298),84X488,X488,The Equality Charter School,2,4,X160,2072352,2.0513502E+9,4140 HUTCHINSON RIVER PKWAY EA,BRONX,2,NY,10475,11,84,1032982,254132
POINT (-73.94192625523158 40.72374308448212),14K110,K110,P.S. 110 The Monitor,1,2,K110,3067144,3026880042.0,124 MONITOR STREET,BROOKLYN,3,NY,11222,14,14,1000347,202961
POINT (-73.901599714107 40.81607896564495),08X302,X302,M.S. 302 Luisa Dessus Cruz,1,3,X052,2005133,2026860020.0,681 KELLY STREET,BRONX,2,NY,10455,8,8,1011487,236612
POINT (-73.87805120706192 40.885428914678705),10X308,X308,Bronx Dance Academy School,1,3,X852,2017858,2033290124.0,3617 BAINBRIDGE AVENUE,BRONX,2,NY,10467,10,10,1017970,261887
POINT (-73.78521092488377 40.70764870615881),29Q268,Q268,P.S./I.S. 268,1,15,Q268,4217573,4102150001.0,92-07 175 STREET,QUEENS,4,NY,11433,29,29,1043800,197165
POINT (-73.92599562839362 40.81368185010436),07X551,X551,The Urban Assembly Bronx Academy of Letters,1,4,X183,2000957,2023330070.0,339 MORRIS AVENUE,BRONX,2,NY,10451,7,7,1004735,235732
POINT (-73.9491306719271 40.68151278151165),79K755,K755,Adult and Continuing Education,1,5,K743,3053020,3018440001.0,475 NOSTRAND AVENUE,BROOKLYN,3,NY,11216,13,79,998359,187574
POINT (-73.91268517268394 40.67445603846988),23K493,K493,Brooklyn Collegiate: A College Board School,1,5,K055,3038939,3014480001.0,2021 BERGEN STREET,BROOKLYN,3,NY,11233,23,23,1008470,185011
POINT (-73.94560338193718 40.80669098000075),84M380,M380,Harlem Village Academy West 2 Charter School,2,2,MAGD,1053438,1017210070.0,74 WEST 124 STREET,MANHATTAN,1,NY,10027,5,84,999309,233181
POINT (-73.83861615842156 40.68006591086798),27Q480,Q480,John Adams High School,1,5,Q480,4529513,4095220032.0,101-01 ROCKAWAY BOULEVARD,QUEENS,4,NY,11417,27,27,1029012,187084
POINT (-73.80898724734601 40.792053374944544),25Q193,Q193,P.S. 193 Alfred J. Kennedy,1,2,Q193,4103056,4045380001.0,152-20 11 AVENUE,QUEENS,4,NY,11357,25,25,1037141,227901
POINT (-73.97767401622674 40.69533903434955),84K536,K536,Community Roots Charter School,2,15,K067,3332507,3020390002.0,51 SAINT EDWARDS STREET,BROOKLYN,3,NY,11205,13,84,990441,192608
POINT (-73.94446331979061 40.70976526914435),14K586,K586,Lyons Community School,1,4,K049,3070825,3030250001.0,223 GRAHAM AVENUE,BROOKLYN,3,NY,11206,14,14,999647,197868
POINT (-73.79557143206354 40.67891329739458),27Q123,Q123,P.S. 123,1,2,Q123,4260828,4120190010.0,145-01 119 AVENUE,QUEENS,4,NY,11436,27,27,1040952,186689
POINT (-74.00613743435692 40.61353557492922),20K204,K204,P.S. 204 Vince Lombardi,1,2,K204,3163702,3062940001.0,8101 15 AVENUE,BROOKLYN,3,NY,11228,20,20,982546,162804
POINT (-73.93331670940243 40.74325362705546),24Q530,Q530,International High School at LaGuardia Community College,1,5,Q520,4003534,4002490001.0,45-35 VAN DAM STREET,QUEENS,4,NY,11101,24,24,1002728,210071
POINT (-74.00516811003632 40.654306699435416),75K503,K999,Home Instruction - Brooklyn,1,8,K231,3337060,3006960031.0,360 36 STREET,BROOKLYN,3,NY,11232,15,75,982816,177658
POINT (-73.87189548106765 40.76177540782565),30Q329,Q329,East Elmhurst Community School,1,2,Q329,4437125,4013770016.0,26-25 97TH STREET,QUEENS,4,NY,11369,30,30,1019738,216838
POINT (-73.9473796709929 40.78045218376827),02M114,M114,East Side Middle School,1,3,M114,1081267,1015540032.0,331 EAST 91ST STREET,MANHATTAN,1,NY,10128,2,2,998823,223621
POINT (-73.98948111442049 40.73852128661259),02M442,M442,"Ballet Tech, NYC Public School for Dance",1,15,M905,1016163,1008487502.0,890 BROADWAY,MANHATTAN,1,NY,10003,2,2,987165,208340
POINT (-73.89436835002638 40.822056058077806),84X346,X346,South Bronx Classical Charter School,2,15,X116,2005660,2027140004.0,977 FOX STREET,BRONX,2,NY,10459,12,84,1013486,238792
POINT (-73.9005846890546 40.75309465656825),30Q152,Q152,P.S. 152 Gwendoline N. Alleyne School,1,2,Q152,4027102,4011840014.0,33-52 62 STREET,QUEENS,4,NY,11377,30,30,1011794,213665
POINT (-73.91977302940388 40.80908027694775),07X369,X369,Young Leaders Elementary School,1,2,X040,2000308,2022840034.0,468 EAST 140 STREET,BRONX,2,NY,10454,7,7,1006459,234057
POINT (-73.91352346194098 40.83701973248079),09X088,X088,P.S. X088 - S. Silverstein Little Sparrow School,1,1,X088,2094535,2028300017.0,1340 SHERIDAN AVENUE,BRONX,2,NY,10456,9,9,1008179,244238
POINT (-73.9456006012762 40.681920137947635),75K140,K140,P.S. K140,1,15,K258,3053075,3018450001.0,141 MACON STREET,BROOKLYN,3,NY,11216,13,75,999338,187723
POINT (-73.99270058516925 40.76547494997142),02M303,M303,"Facing History School, The",1,5,M535,1083802,1010790029.0,525 WEST  50TH STREET,MANHATTAN,1,NY,10019,2,2,986272,218160
POINT (-73.99031825140897 40.76365501054391),02M393,M393,Business Of Sports School,1,5,M625,1026646,1010590015.0,439 WEST 49TH STREET,MANHATTAN,1,NY,10019,2,2,986932,217497
POINT (-74.08082968239526 40.594455680318745),31R046,R046,P.S. 046 Albert V. Maniscalco,1,2,R046,5047613,5032430001.0,41 REID AVENUE,STATEN ISLAND,5,NY,10305,31,31,961802,155863
POINT (-73.88832583406975 40.710973365502326),84Q298,Q298,Middle Village Prep Charter School,2,3,QABC,4089211,4036670023.0,68-02 METROPOLITAN AVENUE,QUEENS,4,NY,11379,24,84,1015210,198323
POINT (-73.94134583908244 40.70275908334504),14K257,K257,P.S. 257 John F. Hylan,1,2,K257,3071571,3031140011.0,60 COOK STREET,BROOKLYN,3,NY,11206,14,14,1000513,195316
POINT (-73.97200915993952 40.58251885802894),21K344,K344,Rachel Carson High School for Coastal Studies,1,5,K303,3196292,3072500025.0,521 WEST AVENUE,BROOKLYN,3,NY,11224,21,21,992025,151505
POINT (-73.87999102382959 40.750442827372105),30Q222,Q222,P.S. Q222 - Fire Fighter Christopher A. Santora School,1,1,Q222,4035854,4014600034.0,86-15 37 AVENUE,QUEENS,4,NY,11372,30,30,1017501,212706
POINT (-73.90059360868166 40.826933466845134),12X267,X267,Bronx Latin,1,4,X158,2004868,2026710011.0,800 HOME STREET,BRONX,2,NY,10456,12,12,1011761,240567
POINT (-73.85315715342932 40.82228815849599),08X138,X138,P.S. 138 Samuel Randall,1,2,X138,2022289,2036090016.0,2060 LAFAYETTE AVENUE,BRONX,2,NY,10473,8,8,1024892,238893
POINT (-73.95683218521103 40.681101467810755),84K879,K879,Brooklyn Prospect Charter School Downtown,2,15,KBEQ,3393703,3020160030.0,1104 FULTON STREET,BROOKLYN,3,NY,11238,13,84,996223,187423
POINT (-73.91136654119627 40.83930718418114),09X413,X413,Bronx High School for Medical Science,1,4,X410,2007806,2028170002.0,240 EAST 172 STREET,BRONX,2,NY,10457,9,9,1008775,245072
POINT (-73.78125541986411 40.68748636930702),28Q140,Q140,P.S. 140 Edward K Ellington,1,2,Q140,4267260,4123410031.0,166-01 116 AVENUE,QUEENS,4,NY,11434,28,28,1044915,189822
POINT (-73.90465762104661 40.90327519064193),10X081,X081,P.S. 081 Robert J. Christen,1,2,X081,2084806,2058501550.0,5550 RIVERDALE AVENUE,BRONX,2,NY,10471,10,10,1010606,268380
POINT (-73.86873559430899 40.819221878400434),08X107,X107,P.S. 107,1,2,X107,2021972,2035910050.0,1695 SEWARD AVENUE,BRONX,2,NY,10473,8,8,1020582,237769
POINT (-73.91178853039341 40.66823294399018),75K396,K396,P.S. K396,1,15,K396,3081032,3035200008.0,110 CHESTER STREET,BROOKLYN,3,NY,11212,23,75,1008721,182744
POINT (-73.91406707833296 40.827438342945506),09X328,X328,New Millennium Bronx Academy of the Arts,1,3,X145,2097111,2024240001.0,1000 TELLER AVENUE,BRONX,2,NY,10456,9,9,1008032,240747
POINT (-73.98268895980786 40.72804922868709),79M998,M998,ALC - Thompkins Park,1,8,MBEL,1005949,1004380032.0,287 EAST 10TH STREET,NEW YORK,1,NY,10009,1,79,989048,204525
POINT (-73.91170880299443 40.85372813814157),84X429,X429,Charter High School for Law and Social Justice,2,5,XABN,2094543,2028680111.0,1960 UNIVERSITY AVENUE,BRONX,2,NY,10453,10,84,1008675,250326
POINT (-73.98866531387878 40.76132731795493),02M408,M408,Professional Performing Arts High School,1,4,M017,1025092,1010380014.0,328 WEST  48 STREET,MANHATTAN,1,NY,10036,2,2,987390,216649
POINT (-73.87494763747614 40.7569315385364),30Q228,Q228,The Ivan Lafayette Early Childhood School of the Arts,1,1,Q228,4000000,4014230057.0,32-63 93 STREET,QUEENS,4,NY,11369,30,30,1018895,215072
POINT (-73.90392073618278 40.8274550382814),09X297,X297,Morris Academy for Collaborative Studies,1,5,X400,2004526,2026340001.0,1110 BOSTON ROAD,BRONX,2,NY,10456,9,9,1010840,240756
POINT (-73.95627998482813 40.64897362774198),17K006,K006,Norma Adams Clemons Academy,1,2,K006,3117230,3051030079.0,43 SNYDER AVENUE,BROOKLYN,3,NY,11226,17,17,996382,175718
POINT (-73.89719397365555 40.81724711754996),79X997,X997,ALC - PAL Longwood,1,8,X965,2100984,2027090001.0,991 LONGWOOD AVENUE,BRONX,2,NY,10459,8,79,1012706,237039
POINT (-73.8545704332787 40.74102099188059),24Q014,Q014,P.S. 014 Fairview,1,2,Q014,4437311,4019540037.0,107-01 OTIS AVENUE,QUEENS,4,NY,11368,24,24,1024550,209284
POINT (-73.82082136589527 40.738599215063594),25Q499,Q499,"The Queens College School for Math, Science and Technology",1,15,Q499,4467571,4065070150.0,148-20 REEVES AVENUE,QUEENS,4,NY,11367,25,25,1033904,208419
POINT (-73.91071928686439 40.68067968044182),23K664,K664,Brooklyn Environmental Exploration School (BEES),1,3,K073,3041561,3015280001.0,251 MAC DOUGAL STREET,BROOKLYN,3,NY,11233,23,23,1009013,187279
POINT (-73.89276091628217 40.66936135333803),19K149,K149,P.S. 149 Danny Kaye,1,2,K149,3084348,3037740016.0,700 SUTTER AVENUE,BROOKLYN,3,NY,11207,19,19,1013999,183161
POINT (-73.94816650144348 40.697377124530576),14K297,K297,P.S. 297 Abraham Stockton,1,2,K297,3048508,3017390011.0,700 PARK AVENUE,BROOKLYN,3,NY,11206,14,14,998623,193354
POINT (-73.92842584139119 40.83819644528594),09X361,X361,The Highbridge Green School,1,3,X285,2117349,2025270032.0,200 West 167th Street,BRONX,2,NY,10452,9,9,1004055,244663
POINT (-73.86523860051662 40.74591963022155),24Q311,Q311,Corona Arts & Sciences Academy,1,3,Q311,4040713,4016280021.0,98-11 44TH AVENUE,QUEENS,4,NY,11368,24,24,1021591,211064
POINT (-73.9571732973207 40.64960251926943),17K543,K543,"Science, Technology and Research Early College High School at Erasmus",1,4,K465,3336215,3051030010.0,911 FLATBUSH AVENUE,BROOKLYN,3,NY,11226,17,17,996134,175947
POINT (-74.15054400040474 40.62484727384189),31R022,R022,P.S. 022 Graniteville,1,2,R022,5107239,5017060001.0,1860 FOREST AVENUE,STATEN ISLAND,5,NY,10303,31,31,942460,166961
POINT (-73.86655771338066 40.74860004396736),24Q019,Q019,P.S. 019 Marino Jeantet,1,2,Q019,4437176,4016070001.0,98-02 ROOSEVELT AVENUE,QUEENS,4,NY,11368,24,24,1021224,212040
POINT (-73.9551886523501 40.66956180490129),17K646,K646,Aspirations Diploma Plus High School,1,5,K824,3032886,3012670001.0,402 EASTERN PARKWAY,BROOKLYN,3,NY,11225,17,17,996681,183219
POINT (-73.97760212061675 40.78053612883176),03M245,M245,M.S. M245 The Computer School,1,3,M044,1030178,1011480014.0,100 WEST  77 STREET,MANHATTAN,1,NY,10024,3,3,990453,223648
POINT (-73.91692770115236 40.63445122762312),79K925,K925,YABC Programs - Brooklyn and Queens,1,5,K515,3224139,3079980005.0,6565 FLATLANDS AVENUE,BROOKLYN,3,NY,11236,18,79,1007307,170435
POINT (-73.88818967191807 40.820101481412316),84X606,X606,Emblaze Academy Charter School,2,2,XBPS,2006325,2027610030.0,1164 Garrison Avenue,Bronx,2,NY,10474,8,84,1015197,238082
POINT (-73.9151067164378 40.678124871096806),84K777,K777,Ocean Hill Collegiate Charter School,2,3,K271,3042157,3015500001.0,1137 HERKIMER STREET,BROOKLYN,3,NY,11233,23,84,1007797,186347
POINT (-73.8812455025488 40.876819403854974),10X280,X280,P.S./M.S. 280 Mosholu Parkway,1,15,X080,2018046,2033360035.0,3202 STEUBEN AVENUE,BRONX,2,NY,10467,10,10,1017091,258749
POINT (-73.95074529628208 40.770215799216956),02M158,M158,P.S. 158 Bayard Taylor,1,2,M158,1046411,1014890001.0,1458 YORK AVENUE,MANHATTAN,1,NY,10075,2,2,997893,219891
POINT (-73.85593070513221 40.82121847122283),08X561,X561,Bronx Compass High School,1,5,X450,2022205,2036040039.0,1980 LAFAYETTE AVENUE,BRONX,2,NY,10473,8,8,1024125,238502
POINT (-73.92825093170761 40.62841756926978),22K326,K326,P.S. 326,1,1,K852,3215550,3077750001.0,1800 UTICA AVENUE,BROOKLYN,3,NY,11234,22,22,1004166,168234
POINT (-73.98932934127878 40.717329010237115),02M294,M294,Essex Street Academy,1,5,M445,1005283,1004080030.0,350 GRAND STREET,MANHATTAN,1,NY,10002,2,2,987208,200619
POINT (-74.097941582095 40.63449716412337),31R061,R061,I.S. 061 William A Morris,1,3,R061,5002227,5.0010001E+9,445 CASTLETON AVENUE,STATEN ISLAND,5,NY,10301,31,31,957066,170456
POINT (-73.99244741198524 40.57864086875915),21K239,K239,Mark Twain I.S. 239 for the Gifted & Talented,1,3,K239,3188221,3069650140.0,2401 NEPTUNE AVENUE,BROOKLYN,3,NY,11224,21,21,986348,150091
POINT (-74.00164842829557 40.71131297639896),02M135,M135,The Urban Assembly School for Emergency Management,1,5,M520,1001388,1.0011301E+9,411 PEARL STREET,MANHATTAN,1,NY,10038,2,2,983793,198427
POINT (-73.90065462234158 40.83447050665391),09X128,X128,Mott Hall III,1,3,X110,2009718,2029320001.0,580 CROTONA PARK SOUTH,BRONX,2,NY,10456,9,9,1011741,243313
POINT (-73.75939602864575 40.664809245250765),29Q355,Q355,Collaborative Arts Middle School,1,3,Q231,4285682,4133310001.0,145-00 SPRINGFIELD BOULEVARD,QUEENS,4,NY,11413,29,29,1051000,181576
POINT (-73.87993193015087 40.839297957701085),12X214,X214,P.S. 214,1,15,X167,2094603,2030210038.0,1970 WEST FARMS ROAD,BRONX,2,NY,10460,12,12,1017473,245079
POINT (-73.8915625898348 40.86098716774762),10X228,X228,Jonas Bronck Academy,1,3,X283,2116415,2030337501.0,400 EAST FORDHAM ROAD,BRONX,2,NY,10458,10,10,1014245,252977
POINT (-73.96589017879162 40.6858968818143),13K011,K011,P.S. 011 Purvis J. Behan,1,2,K011,3332865,3019620010.0,419 WAVERLY AVENUE,BROOKLYN,3,NY,11238,13,13,993710,189169
POINT (-73.8316693059467 40.87403500170278),75X596,X596,P.S. X596,1,2,X178,2097470,2051410150.0,850 BAYCHESTER AVENUE,BRONX,2,NY,10475,11,75,1030803,257757
POINT (-73.98686679223194 40.69243374066976),84K766,K766,The International Charter School of New York,2,2,KCQF,3000339,3001470044.0,55 Willoughby Street,BROOKLYN,3,NY,11201,13,84,987892,191549
